"","release_year","genre_early_main","percent"
"1",1970,"Heavy Metal",0.636363636363636
"2",1971,"Heavy Metal",0.75
"3",1972,"Heavy Metal",0.823529411764706
"4",1973,"Heavy Metal",0.666666666666667
"5",1974,"Heavy Metal",1
"6",1975,"Heavy Metal",0.833333333333333
"7",1976,"Heavy Metal",0.944444444444444
"8",1977,"Heavy Metal",0.705882352941177
"9",1978,"Heavy Metal",0.791666666666667
"10",1979,"Heavy Metal",0.8
"11",1980,"Heavy Metal",0.852941176470588
"12",1981,"Heavy Metal",0.801724137931034
"13",1982,"Heavy Metal",0.748201438848921
"14",1983,"Heavy Metal",0.666666666666667
"15",1984,"Heavy Metal",0.593846153846154
"16",1985,"Heavy Metal",0.474666666666667
"17",1986,"Heavy Metal",0.336
"18",1987,"Heavy Metal",0.274231678486998
"19",1988,"Heavy Metal",0.194570135746606
"20",1989,"Heavy Metal",0.148
"21",1990,"Heavy Metal",0.130514705882353
"22",1991,"Heavy Metal",0.0706713780918728
"23",1992,"Heavy Metal",0.102848101265823
"24",1993,"Heavy Metal",0.0646687697160883
"25",1994,"Heavy Metal",0.0660377358490566
"26",1995,"Heavy Metal",0.0713245997088792
"27",1996,"Heavy Metal",0.0731707317073171
"28",1997,"Heavy Metal",0.0813793103448276
"29",1998,"Heavy Metal",0.0730478589420655
"30",1999,"Heavy Metal",0.057421451787649
"31",2000,"Heavy Metal",0.0678685047720042
"32",2001,"Heavy Metal",0.0597285067873303
"33",2002,"Heavy Metal",0.067990832696715
"34",2003,"Heavy Metal",0.0548549810844893
"35",2004,"Heavy Metal",0.0660841070453304
"36",2005,"Heavy Metal",0.0532850491464045
"37",2006,"Heavy Metal",0.0479452054794521
"38",2007,"Heavy Metal",0.0521739130434783
"39",2008,"Heavy Metal",0.0437549721559268
"40",2009,"Heavy Metal",0.0485232067510548
"41",2010,"Heavy Metal",0.0500664599025255
"42",2011,"Heavy Metal",0.047104580812446
"43",2012,"Heavy Metal",0.0571797076526225
"44",2013,"Heavy Metal",0.0634328358208955
"45",2014,"Heavy Metal",0.0608014739751267
"46",2015,"Heavy Metal",0.0661725780836421
"47",2016,"Heavy Metal",0.0646008403361345
"48",2017,"Heavy Metal",0.066916823014384
"49",2018,"Heavy Metal",0.0930954228083786
"50",1970,"Doom Metal",0.363636363636364
"51",1971,"Doom Metal",0.25
"52",1972,"Doom Metal",0.176470588235294
"53",1973,"Doom Metal",0.333333333333333
"54",1974,"Doom Metal",0
"55",1975,"Doom Metal",0.166666666666667
"56",1976,"Doom Metal",0.0555555555555556
"57",1977,"Doom Metal",0.0588235294117647
"58",1978,"Doom Metal",0.125
"59",1979,"Doom Metal",0.025
"60",1980,"Doom Metal",0.0392156862745098
"61",1981,"Doom Metal",0.0431034482758621
"62",1982,"Doom Metal",0.0431654676258993
"63",1983,"Doom Metal",0.0241545893719807
"64",1984,"Doom Metal",0.0215384615384615
"65",1985,"Doom Metal",0.0213333333333333
"66",1986,"Doom Metal",0.0213333333333333
"67",1987,"Doom Metal",0.016548463356974
"68",1988,"Doom Metal",0.0203619909502262
"69",1989,"Doom Metal",0.038
"70",1990,"Doom Metal",0.0459558823529412
"71",1991,"Doom Metal",0.0600706713780919
"72",1992,"Doom Metal",0.0727848101265823
"73",1993,"Doom Metal",0.0630914826498423
"74",1994,"Doom Metal",0.0833333333333333
"75",1995,"Doom Metal",0.0727802037845706
